id,Соотношение матрица-наполнитель,"Плотность, кг/м3","Модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Потребление смолы, г/м2"
0,1.857142857,2030.000000000,738.736842100,30.000000000,22.267857140,100.000000000,210.000000000,70.000000000,3000.000000000,220.000000000
1,1.857142857,2030.000000000,738.736842100,50.000000000,23.750000000,284.615384600,210.000000000,70.000000000,3000.000000000,220.000000000
2,1.857142857,2030.000000000,738.736842100,49.900000000,33.000000000,284.615384600,210.000000000,70.000000000,3000.000000000,220.000000000
3,1.857142857,2030.000000000,738.736842100,129.000000000,21.250000000,300.000000000,210.000000000,70.000000000,3000.000000000,220.000000000
4,2.771331058,2030.000000000,753.000000000,111.860000000,22.267857140,284.615384600,210.000000000,70.000000000,3000.000000000,220.000000000
5,2.767918089,2000.000000000,748.000000000,111.860000000,22.267857140,284.615384600,210.000000000,70.000000000,3000.000000000,220.000000000
6,2.569620253,1910.000000000,807.000000000,111.860000000,22.267857140,284.615384600,210.000000000,70.000000000,3000.000000000,220.000000000
7,2.561475410,1900.000000000,535.000000000,111.860000000,22.267857140,284.615384600,380.000000000,75.000000000,1800.000000000,120.000000000
8,3.557017544,1930.000000000,889.000000000,129.000000000,21.250000000,300.000000000,380.000000000,75.000000000,1800.000000000,120.000000000
9,3.532338308,2100.000000000,1421.000000000,129.000000000,21.250000000,300.000000000,1010.000000000,78.000000000,2000.000000000,300.000000000
10,2.919677836,2160.000000000,933.000000000,129.000000000,21.250000000,300.000000000,1010.000000000,78.000000000,2000.000000000,300.000000000
11,2.877358491,1990.000000000,1628.000000000,129.000000000,21.250000000,300.000000000,1010.000000000,78.000000000,2000.000000000,300.000000000
12,1.598173516,1950.000000000,827.000000000,129.000000000,21.250000000,300.000000000,470.000000000,73.333333330,2455.555556000,220.000000000
13,2.919677836,1980.000000000,568.000000000,129.000000000,21.250000000,300.000000000,470.000000000,73.333333330,2455.555556000,220.000000000
14,4.029126214,1910.000000000,800.000000000,129.000000000,21.250000000,300.000000000,470.000000000,73.333333330,2455.555556000,220.000000000
15,2.934782609,2030.000000000,302.000000000,129.000000000,21.250000000,300.000000000,210.000000000,70.000000000,3000.000000000,220.000000000
16,3.557017544,1880.000000000,313.000000000,129.000000000,21.250000000,300.000000000,210.000000000,70.000000000,3000.000000000,220.000000000
17,4.193548387,1950.000000000,506.000000000,129.000000000,21.250000000,300.000000000,380.000000000,75.000000000,1800.000000000,120.000000000
18,4.897959184,1890.000000000,540.000000000,129.000000000,21.250000000,300.000000000,380.000000000,75.000000000,1800.000000000,120.000000000
19,3.532338308,1980.000000000,1183.000000000,111.860000000,22.267857140,284.615384600,1010.000000000,78.000000000,2000.000000000,300.000000000
20,2.877358491,2000.000000000,205.000000000,111.860000000,22.267857140,284.615384600,1010.000000000,78.000000000,2000.000000000,300.000000000
21,1.598173516,1920.000000000,456.000000000,111.860000000,22.267857140,284.615384600,470.000000000,73.333333330,2455.555556000,220.000000000
22,4.029126214,1880.000000000,622.000000000,111.860000000,22.267857140,284.615384600,470.000000000,73.333333330,2455.555556000,220.000000000
23,2.587347643,1953.274926000,1136.596135000,137.627419600,22.344533570,234.716883000,555.893453300,80.803221760,2587.342983000,246.613116500
24,2.499917928,1942.595777000,901.519946700,146.252207800,23.081757480,351.231874000,864.725483800,76.178075080,3705.672523000,226.222760400
25,2.046471464,2037.631811000,707.570887000,101.617251300,23.146392810,312.307205200,547.601218600,73.817066620,2624.026407000,178.198555900
26,1.856476170,2018.220332000,836.294381600,135.401696600,26.435514600,327.510376700,150.961448500,77.210761580,2473.187195000,123.344561400
27,3.305535422,1917.907506000,478.286247300,105.786929600,17.874099910,328.154579500,526.692159400,72.345708790,3059.032991000,275.575879500
28,2.709554095,1892.071124000,641.052549400,96.563293190,22.989290560,262.956722000,804.592620800,74.511359220,2288.967377000,126.816338900
29,2.282825314,2008.357592000,393.967325500,149.372832400,21.661750680,330.498641000,535.371459100,72.244924080,2704.445081000,261.077071600
30,1.978140173,1973.629097000,991.724094600,149.372127900,19.750577890,232.058191300,485.453778100,75.665700560,2448.943079000,162.493693600
